situation,meditation,motivation,mindful_activity,healthy_eating,sleeping,singing,dancing,painting,music,nature_activity,trip_idea,social_connection,hobby
stress,5-minute slow breathing,Handle one thing at a time; you do not need to solve everything immediately.,Take a 10-minute mindful walk or do gentle stretching.,"Try a balanced meal with vegetables, whole grains, protein, and enough water; limit excess caffeine.",Follow a calm bedtime routine and reduce screen use before bed.,Sing along to a favorite song for a few minutes.,Try free-form dancing or gentle movement to release tension.,"Paint, sketch, color, or doodle without worrying about perfection.",Listen to calming or uplifting music.,Spend some time in a park or another peaceful outdoor place.,Plan a short local outing or day trip if you feel up to it.,Talk to a trusted friend or family member.,"Take a warm shower, tidy a small space, or enjoy a relaxing hobby."
anxiety,5-minute mindfulness meditation,Focus on what you can control right now.,Try the 5-4-3-2-1 grounding activity.,"Eat regular balanced meals with fruits, vegetables, whole grains, protein, and healthy fats.",Keep a consistent sleep and wake schedule.,Hum or sing slowly while focusing on your breathing.,"Try slow, gentle dancing rather than intense movement.",Color a simple pattern or make a calming sketch.,Listen to slow instrumental or familiar comforting music.,Sit somewhere quiet and notice your surroundings.,"Choose a calm, low-pressure outing such as a museum, garden, or café.",Message someone you trust and let them know you need some support.,"Try journaling, a puzzle, reading, or another quiet activity."
sadness,Loving-kindness meditation,Be gentle with yourself; having a difficult day does not define you.,Journal for a few minutes or take a gentle walk.,"Choose nourishing foods such as fruits, vegetables, eggs, nuts, or fish as part of a balanced diet.",Create a quiet and comfortable wind-down routine.,Sing a favorite song or softly hum.,Dance to a song that makes you feel comfortable.,Paint or create something that expresses how you feel.,Listen to music that feels comforting or uplifting.,Spend time outdoors and get some fresh air.,Take a simple day trip with a trusted person if it feels enjoyable.,Talk with someone you trust instead of staying completely isolated.,"Watch a lighthearted movie, read, garden, or do a favorite hobby."
loneliness,Compassion meditation,"Reaching out is a strength, not a weakness.",Take a mindful walk while noticing people and surroundings.,Share a balanced meal with someone when possible.,Maintain a regular bedtime and make your sleep space comfortable.,Join a casual singing activity or sing with friends.,Try a beginner dance class or dance at home.,Join an art group or create a painting to share.,Make a shared playlist or listen to music with someone.,Visit a community park or public space.,Plan a small trip or outing with a friend or family member.,"Call a friend, family member, or trusted person.","Join a club, class, volunteering activity, or hobby group."
anger,Box breathing,Pause before reacting; giving yourself time can help.,Step away from the situation and take a mindful walk.,Eat regular balanced meals and drink enough water.,Give yourself time to wind down before bedtime.,Sing or hum to release energy in a safe way.,"Try energetic dancing in a private safe space, then slow down.","Scribble, paint, or draw your feelings without judging the result.",Listen to calming music after taking some space.,Go outside for fresh air and a change of environment.,Choose a peaceful outing after you have calmed down.,Talk to someone only when you feel ready to communicate calmly.,"Try journaling, stretching, cleaning, or another safe physical activity."
overthinking,Thought-observation meditation,You do not need to solve everything at once.,Write down your thoughts and focus on one manageable task.,"Choose regular meals with vegetables, fruits, whole grains, and protein.",Try a screen-free wind-down period before sleep.,Sing a familiar song and focus on its words or melody.,Try a simple dance routine that requires attention.,Follow a simple drawing tutorial to focus your attention.,Listen to an album or playlist from beginning to end.,Take a mindful walk and notice five things around you.,Visit a new nearby place for a change of scenery.,Talk through your thoughts with someone you trust.,"Try a puzzle, reading, gardening, cooking, or journaling."
sleep_issue,Body scan meditation,Small changes to your routine can make a difference.,Try gentle stretching or quiet reading before bed.,Avoid heavy meals and excess caffeine close to bedtime.,Keep a consistent sleep schedule and allow enough time for rest.,Choose quiet humming rather than stimulating music late at night.,Use gentle stretching or slow movement instead of intense dancing near bedtime.,Try quiet coloring or sketching as a wind-down activity.,"Listen to calm, low-volume music before bed.",Get daylight exposure during the day and keep the bedroom calm at night.,Prefer daytime trips or outings rather than late-night activities.,Spend relaxed time with supportive people earlier in the day.,"Try a warm shower, reading, breathing, or another calming routine."
study_stress,2-minute breathing exercise,"Break your workload into small, achievable goals.",Use short study breaks for stretching or a brief walk.,Choose balanced snacks such as fruit with yogurt or a handful of nuts.,Avoid studying right up until bedtime; wind down before sleep.,Sing during a study break to refresh your attention.,Dance for one or two songs during a longer break.,Doodle or sketch during a short creative break.,Use instrumental music if it helps you concentrate.,Study or take a break in a quiet outdoor area when practical.,Plan a weekend outing after completing important tasks.,Study with a supportive friend or take a short social break.,"Try puzzles, photography, cooking, or another hobby after studying."
low_motivation,3-minute mindful breathing,Start with one tiny task rather than waiting for motivation.,Make a simple to-do list and complete one easy task first.,Eat regular balanced meals and avoid skipping meals.,Keep consistent sleep and wake times.,Sing one upbeat song to start an activity.,Dance for a few minutes to get moving.,Start a tiny art project with no pressure to finish.,Create an uplifting playlist.,Go outside for a short walk or sit in sunlight during the day.,Plan a small enjoyable outing as a reward for completing goals.,Ask a friend to join you for an activity.,"Try photography, cooking, gardening, reading, or learning a small new skill."
low_mood,Gentle mindfulness meditation,Celebrate small progress instead of expecting perfection.,Spend a few minutes outdoors or doing a hobby you enjoy.,"Choose a varied diet with fruits, vegetables, whole grains, and protein-rich foods.",Prioritize a regular sleep routine and relaxing evening activities.,Sing a favorite song or try learning a new one.,Dance to music that feels enjoyable and comfortable.,"Paint, color, craft, or try another creative activity.",Listen to comforting or uplifting music.,Spend time in nature or a peaceful outdoor space.,Take a pleasant day trip with someone you trust.,Connect with friends or family instead of withdrawing completely.,"Try gardening, cooking, reading, photography, or another enjoyable hobby."
frustration,Slow breathing meditation,A setback is not the end; pause and try a smaller approach.,Take a short break and move your body.,Have a regular balanced meal and stay hydrated.,Avoid carrying the frustration into bedtime; use a calming routine.,Sing or hum to shift your attention.,Dance or stretch for a few minutes.,Draw or paint the situation abstractly and let yourself experiment.,Listen to music that helps you reset.,Step outside for fresh air.,Change your environment with a short local outing.,Ask someone you trust for a fresh perspective.,"Try cooking, organizing, gaming, puzzles, or another constructive hobby."
boredom,Open-awareness mindfulness,Use the moment to explore something new.,Try a mindful activity you have not done before.,Try preparing a new balanced snack or meal.,Keep a regular sleep routine even when your day feels unstructured.,Learn a new song or sing karaoke at home.,Learn a beginner dance routine.,Try a new painting or drawing style.,Discover a new genre or make a playlist.,Explore a nearby park or neighborhood.,Plan a short day trip to a new nearby place.,Invite a friend to try a new activity together.,"Try photography, cooking, reading, crafts, puzzles, or learning a skill."
social_stress,Compassion meditation,You can set boundaries and take social situations at your own pace.,Take a quiet walk after a demanding social interaction.,Eat regular meals and stay hydrated during busy days.,Give yourself quiet time before bed after a socially tiring day.,Sing privately or with people who make you comfortable.,Dance at home or with supportive friends.,Use painting or doodling as a private way to unwind.,Listen to music that helps you feel comfortable.,Spend time somewhere peaceful after social activities.,"Choose a small, familiar outing rather than an overwhelming event.",Talk to a trusted person who listens without judging.,"Read, journal, garden, craft, or enjoy another solo hobby."
work_pressure,5-minute breathing meditation,Prioritize tasks and focus on the next practical step.,Take short movement breaks during work.,Choose regular balanced meals and avoid relying heavily on caffeine.,Set a boundary between work time and bedtime when possible.,Listen to or sing a favorite song during a break.,Do a short movement or dance break away from your desk.,Sketch or doodle during a break.,Use calming or focus music if appropriate.,Step outside during a break for fresh air.,Plan a restorative weekend outing.,"Talk with a trusted colleague, friend, or family member.","Try cooking, reading, exercise, gardening, or another after-work hobby."
exam_stress,4-4 breathing for a few minutes,Focus on preparation rather than perfection.,Use timed study blocks with mindful breaks.,Choose balanced meals and snacks rather than skipping meals.,Protect your sleep; avoid sacrificing sleep for last-minute study whenever possible.,Sing during a short break to reset.,Dance for a song between study sessions.,Use simple doodling or coloring as a short break.,Listen to quiet instrumental music while studying if helpful.,Take a brief outdoor break between study sessions.,Plan a relaxing outing after the exam period.,Study with a supportive peer and take breaks together.,"Try a short hobby break such as photography, cooking, or a puzzle."
grief,Gentle compassion meditation,Give yourself permission to grieve at your own pace.,"Journal, sit quietly, or take a gentle walk when you feel able.",Keep regular meals and choose nourishing foods even when appetite is low.,Maintain a gentle sleep routine and allow yourself adequate rest.,Listen to or sing music that feels meaningful to you.,Choose gentle movement if it feels comfortable.,Create art to express memories or emotions.,"Listen to meaningful, comforting music.",Spend quiet time in a place that feels peaceful.,Take a simple outing when you feel ready rather than forcing yourself.,Stay connected with trusted people and accept support.,"Look through photos, write memories, garden, read, or do another comforting activity."
